red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
CODY DURDEN,CARLOS MOTA,29/10/2022,Custom Made,Tizil,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 27 - 30. Tony Weeks 28 - 29. Ben Cartlidge 28 - 29.,Flyweight Bout,-,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",0,0,17 of 37,12 of 29,45,41,51 of 95,36 of 62,4 of 8,0 of 0,50,---,0,1,0,1,12:32,0:11,13 of 33,6 of 19,3 of 3,5 of 9,1 of 1,1 of 1,7 of 20,7 of 22,0 of 0,0 of 0,10 of 17,5 of 7,76,50,17,41,5,8,41,58,0,0,58,41,29 ‘30 29,28 27 28
CHRISTIAN RODRIGUEZ,JOSHUA WEEMS,29/10/2022,-,Wide Open,W,L,Submission,1,4:07,3 Rnd (5-5-5),Chris Tognoni,Anaconda Choke From Side Control,Bantamweight Bout,perf,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",0,0,9 of 23,18 of 26,39,69,15 of 30,22 of 32,0 of 2,2 of 3,0,66,1,0,0,0,0:56,1:03,8 of 21,9 of 15,0 of 0,6 of 7,1 of 2,3 of 4,8 of 21,12 of 19,0 of 1,6 of 7,1 of 1,0 of 0,88,50,0,33,11,16,88,66,0,33,11,0,- - -,- - -
CHARLES OLIVEIRA,ISLAM MAKHACHEV,23/10/2022,Do Bronxs,-,L,W,Submission,2,3:16,5 Rnd (5-5-5-5-5),Jason Herzog,Arm Triangle From Side Control,UFC Lightweight Title Bout,belt,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,1,19 of 39,30 of 41,48,73,25 of 46,72 of 86,0 of 1,2 of 3,0,66,0,1,0,0,0:42,5:05,7 of 23,25 of 35,12 of 15,5 of 6,0 of 1,0 of 0,10 of 26,21 of 31,7 of 8,5 of 5,2 of 5,4 of 5,36,83,63,16,0,0,52,70,36,16,10,13,9 9 9,10 10 10
ALJAMAIN STERLING,TJ DILLASHAW,23/10/2022,Funk Master,-,W,L,KO/TKO,2,3:44,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head From Back Control,UFC Bantamweight Title Bout,belt,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,72 of 93,8 of 26,77,30,148 of 181,13 of 31,5 of 8,0 of 0,62,---,2,0,0,0,7:06,0:03,56 of 75,3 of 20,13 of 15,2 of 2,3 of 3,3 of 4,17 of 30,8 of 26,2 of 4,0 of 0,53 of 59,0 of 0,77,37,18,25,4,37,23,100,2,0,73,0,10 10 10,8 8 8
PETR YAN,SEAN O'MALLEY,23/10/2022,No Mercy,Suga,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29. Vito Paolillo 29 - 28. David Lethaby 28 - 29.,Bantamweight Bout,fight,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,58 of 96,84 of 163,60,51,97 of 139,91 of 171,6 of 13,0 of 1,46,0,0,0,0,0,5:44,0:02,24 of 57,63 of 132,13 of 18,6 of 14,21 of 21,15 of 17,47 of 81,80 of 158,5 of 6,4 of 4,6 of 9,0 of 1,41,75,22,7,36,17,81,95,8,4,10,0,28 28 29,29 29 28
BENEIL DARIUSH,MATEUSZ GAMROT,23/10/2022,-,Gamer,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Junichiro Kamijo 27 - 30. Darryl Ransom 27 - 30. Clemens Werner 28 - 29.,Lightweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,0,59 of 130,33 of 81,45,40,67 of 138,38 of 86,0 of 0,4 of 19,---,21,0,0,0,0,0:34,2:07,35 of 100,22 of 67,15 of 21,9 of 12,9 of 9,2 of 2,52 of 121,29 of 76,2 of 3,4 of 5,5 of 6,0 of 0,59,66,25,27,15,6,88,87,3,12,8,0,30 30 29,27 27 28
KATLYN CERMINARA,MANON FIOROT,23/10/2022,Blonde Fighter,The Beast,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,David Lethaby 28 - 29. Anders Ohlsson 28 - 29. Vito Paolillo 28 - 29.,Women's Flyweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,76 of 286,98 of 279,26,35,76 of 286,99 of 280,0 of 0,1 of 2,---,50,0,0,0,0,0:00,0:14,35 of 223,58 of 225,21 of 40,16 of 28,20 of 23,24 of 26,72 of 278,96 of 273,4 of 8,2 of 5,0 of 0,0 of 1,46,59,27,16,26,24,94,97,5,2,0,0,28 28 28,29 29 29
BELAL MUHAMMAD,SEAN BRADY,23/10/2022,Remember the Name,-,W,L,KO/TKO,2,4:47,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head At Distance,Welterweight Bout,perf,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,80 of 209,58 of 118,38,49,80 of 209,58 of 118,0 of 0,0 of 5,---,0,0,0,0,0,0:00,0:00,64 of 183,40 of 98,11 of 19,4 of 6,5 of 7,14 of 14,79 of 206,57 of 117,1 of 3,1 of 1,0 of 0,0 of 0,80,68,13,6,6,24,98,98,1,1,0,0,10 9 10,6 10 9
MAKHMUD MURADOV,CAIO BORRALHO,23/10/2022,-,The Natural,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Junichiro Kamijo 27 - 30. Vito Paolillo 27 - 30. Clemens Werner 28 - 29.,Middleweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,14 of 35,19 of 32,40,59,76 of 103,57 of 77,2 of 2,1 of 2,100,50,0,2,1,3,4:44,5:32,10 of 28,13 of 23,3 of 6,1 of 4,1 of 1,5 of 5,7 of 20,10 of 23,0 of 0,0 of 0,7 of 15,9 of 9,71,68,21,5,7,26,50,52,0,0,50,47,27 27 28,30 30 29
VOLKAN OEZDEMIR,NIKITA KRYLOV,23/10/2022,No Time,The Miner,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby 27 - 30. Anders Ohlsson 28 - 29. Vito Paolillo 28 - 29.,Light Heavyweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,42 of 81,57 of 121,51,47,108 of 157,171 of 251,1 of 1,7 of 20,100,35,0,1,0,0,0:47,9:17,35 of 72,42 of 100,3 of 3,12 of 18,4 of 6,3 of 3,34 of 68,38 of 93,5 of 9,12 of 17,3 of 4,7 of 11,83,73,7,21,9,5,80,66,11,21,7,12,27 28 28,30 29 29
ABUBAKAR NURMAGOMEDOV,GADZHI OMARGADZHIEV,23/10/2022,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 28 - 29. Vito Paolillo 28 - 29. Anders Ohlsson 27 - 30.,Welterweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,40 of 67,38 of 99,59,38,76 of 104,79 of 142,1 of 4,1 of 7,25,14,0,0,0,0,7:55,1:08,29 of 55,22 of 69,5 of 6,13 of 26,6 of 6,3 of 4,36 of 61,25 of 81,3 of 4,12 of 14,1 of 2,1 of 4,72,57,12,34,15,7,90,65,7,31,2,2,29 30 29,28 27 28
ARMEN PETROSYAN,AJ DOBSON,23/10/2022,Superman,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Junichiro Kamijo 27 - 30. David Lethaby 27 - 30. Darryl Ransom 27 - 30.,Middleweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,118 of 246,58 of 161,47,36,118 of 246,64 of 168,0 of 1,3 of 3,0,100,0,0,0,0,0:00,0:49,31 of 151,38 of 136,35 of 39,9 of 14,52 of 56,11 of 11,106 of 233,50 of 149,12 of 13,8 of 12,0 of 0,0 of 0,26,65,29,15,44,18,89,86,10,13,0,0,30 30 30,27 27 27
MUHAMMAD MOKAEV,MALCOLM GORDON,23/10/2022,The Punisher,X,W,L,Submission,3,4:26,3 Rnd (5-5-5),Daniel Movahedi,Armbar From Back Control,Flyweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,21 of 30,17 of 38,70,44,119 of 130,38 of 62,6 of 7,1 of 1,85,100,1,1,0,1,10:18,2:49,13 of 22,15 of 35,8 of 8,2 of 2,0 of 0,0 of 1,9 of 18,5 of 26,0 of 0,5 of 5,12 of 12,7 of 7,61,88,38,11,0,0,42,29,0,29,57,41,20 20 20,18 18 18
KAROL ROSA,LINA LANSBERG,23/10/2022,-,Elbow Queen,W,L,Decision - Majority,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 29. Darryl Ransom 27 - 29. David Lethaby 28 - 28.,Women's Bantamweight Bout,-,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,1,54 of 74,36 of 60,72,60,160 of 190,100 of 132,3 of 6,0 of 0,50,---,0,0,0,0,9:44,2:48,31 of 46,15 of 39,13 of 16,20 of 20,10 of 12,1 of 1,24 of 38,18 of 42,15 of 20,16 of 16,15 of 16,2 of 2,57,41,24,55,18,2,44,50,27,44,27,5,29 28 29,27 28 27
ALEXA GRASSO,VIVIANE ARAUJO,15/10/2022,-,Vivi,W,L,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Mike Bell 45 - 50. Sal D'amato 46 - 49. Junichiro Kamijo 46 - 49.,Women's Flyweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,153 of 311,126 of 264,49,47,193 of 353,148 of 288,0 of 0,2 of 10,---,20,0,0,0,0,0:00,3:29,101 of 243,103 of 235,33 of 45,17 of 22,19 of 23,6 of 7,143 of 298,124 of 261,9 of 12,0 of 1,1 of 1,2 of 2,66,81,21,13,12,4,93,98,5,0,0,1,50 49 49,45 46 46
CUB SWANSON,JONATHAN MARTINEZ,15/10/2022,-,Dragon,L,W,KO/TKO,2,4:19,3 Rnd (5-5-5),Herb Dean,Kick to Leg At Distance,Bantamweight Bout,perf,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,2,51 of 79,62 of 102,64,60,60 of 88,66 of 106,1 of 1,0 of 1,100,0,0,0,0,1,0:20,3:30,10 of 35,40 of 77,9 of 10,15 of 18,32 of 34,7 of 7,48 of 73,37 of 64,3 of 5,12 of 14,0 of 1,13 of 24,19,64,17,24,62,11,94,59,5,19,0,20,9 9 9,10 10 10
JORDAN WRIGHT,DUSKO TODOROVIC,15/10/2022,The Beverly Hills Ninja,Thunder,L,W,KO/TKO,2,3:12,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Mount,Middleweight Bout,fight,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,25 of 41,61 of 80,60,76,66 of 83,107 of 132,3 of 5,0 of 4,60,0,1,0,0,0,5:03,1:11,20 of 35,49 of 68,5 of 6,12 of 12,0 of 0,0 of 0,7 of 18,19 of 29,7 of 9,28 of 31,11 of 14,14 of 20,80,80,20,19,0,0,28,31,28,45,44,22,10 10 10,9 9 8
RAPHAEL ASSUNCAO,VICTOR HENRY,15/10/2022,-,La Mangosta,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30. Sal D'amato 27 - 30. Bryan Miner 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,60 of 91,55 of 126,65,43,78 of 110,61 of 134,2 of 5,0 of 1,40,0,0,0,0,0,4:29,0:03,40 of 65,23 of 85,8 of 12,22 of 26,12 of 14,10 of 15,42 of 70,51 of 120,15 of 16,4 of 6,3 of 5,0 of 0,66,41,13,40,20,18,70,92,25,7,5,0,30 30 30,27 27 27
MISHA CIRKUNOV,ALONZO MENIFIELD,15/10/2022,-,Atomic,L,W,KO/TKO,1,1:28,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Light Heavyweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,1,5 of 8,8 of 17,62,47,6 of 9,8 of 17,0 of 4,0 of 0,0,---,0,0,0,0,0:00,0:03,2 of 5,6 of 15,2 of 2,2 of 2,1 of 1,0 of 0,3 of 6,4 of 12,2 of 2,1 of 2,0 of 0,3 of 3,40,75,40,25,20,0,60,50,40,12,0,37,- - -,- - -
MANA MARTINEZ,BRANDON DAVIS,15/10/2022,ManaBoi,Killer B,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29. Junichiro Kamijo 29 - 28. Tony Weeks 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",2,0,87 of 161,76 of 181,54,41,87 of 162,84 of 189,1 of 4,1 of 3,25,33,0,0,0,0,0:45,1:31,45 of 108,43 of 139,25 of 34,16 of 24,17 of 19,17 of 18,82 of 154,69 of 170,3 of 5,3 of 4,2 of 2,4 of 7,51,56,28,21,19,22,94,90,3,3,2,5,29 29 28,28 28 29
NICK MAXIMOV,JACOB MALKOUN,15/10/2022,-,Mamba,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Sal D'amato 27 - 30. Chris Lee 27 - 30.,Middleweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,34 of 102,83 of 164,33,50,56 of 124,129 of 214,0 of 0,9 of 13,---,69,0,0,0,0,0:04,7:37,29 of 96,78 of 158,4 of 5,4 of 5,1 of 1,1 of 1,34 of 101,66 of 141,0 of 0,4 of 8,0 of 1,13 of 15,85,93,11,4,2,1,100,79,0,4,0,15,27 27 27,30 30 30
JOANDERSON BRITO,LUCAS ALEXANDER,15/10/2022,Tubarao,The Lion,W,L,Submission,1,2:02,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Featherweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,4 of 8,1 of 2,50,50,7 of 11,1 of 2,2 of 2,0 of 0,100,---,1,0,0,0,1:25,0:00,2 of 5,0 of 1,0 of 0,0 of 0,2 of 3,1 of 1,0 of 4,1 of 2,4 of 4,0 of 0,0 of 0,0 of 0,50,0,0,0,50,100,0,100,100,0,0,0,- - -,- - -
PIERA RODRIGUEZ,SAM HUGHES,15/10/2022,La Fiera,Sampage,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Mike Bell 28 - 29. Adalaide Byrd 28 - 29. Sal D'amato 28 - 29.,Women's Strawweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,83 of 160,69 of 155,51,44,89 of 166,78 of 164,5 of 11,0 of 1,45,0,0,0,0,0,1:56,0:30,32 of 101,55 of 135,42 of 48,11 of 15,9 of 11,3 of 5,47 of 122,55 of 140,33 of 35,14 of 14,3 of 3,0 of 1,38,79,50,15,10,4,56,79,39,20,3,0,29 29 29,28 28 28
TATSURO TAIRA,CJ VERGARA,15/10/2022,-,-,W,L,Submission,2,4:19,3 Rnd (5-5-5),Kerry Hatley,Armbar From Back Control,Flyweight Bout,perf,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,0,22 of 36,19 of 30,61,63,31 of 46,29 of 40,3 of 8,0 of 0,37,---,2,0,0,1,6:19,0:36,14 of 28,13 of 23,5 of 5,5 of 6,3 of 3,1 of 1,15 of 26,12 of 23,3 of 4,3 of 3,4 of 6,4 of 4,63,68,22,26,13,5,68,63,13,15,18,21,10 10 10,9 9 9
MIKE JACKSON,PETE RODRIGUEZ,15/10/2022,The Truth,Dead Game,L,W,KO/TKO,1,1:33,3 Rnd (5-5-5),Chris Tognoni,Knee to Head At Distance,Welterweight Bout,-,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA",0,1,10 of 15,22 of 33,66,66,11 of 16,26 of 39,0 of 1,0 of 0,0,---,0,0,0,0,0:00,0:15,8 of 13,12 of 23,2 of 2,8 of 8,0 of 0,2 of 2,9 of 14,13 of 21,1 of 1,6 of 8,0 of 0,3 of 4,80,54,20,36,0,9,90,59,10,27,0,13,- - -,- - -
MACKENZIE DERN,YAN XIAONAN,01/10/2022,-,-,L,W,Decision - Majority,5,5:00,5 Rnd (5-5-5-5-5),Chris Tognoni,Junichiro Kamijo 47 - 48. Sal D'amato 47 - 48. Mike Bell 47 - 47.,Women's Strawweight Bout,-,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,61 of 151,113 of 195,40,57,224 of 339,151 of 240,2 of 11,0 of 0,18,---,2,0,2,0,9:19,4:11,45 of 132,53 of 126,10 of 13,14 of 21,6 of 6,46 of 48,52 of 136,100 of 178,3 of 7,6 of 9,6 of 8,7 of 8,73,46,16,12,9,40,85,88,4,5,9,6,47 47 47,48 48 47
RANDY BROWN,FRANCISCO TRINALDO,01/10/2022,Rudeboy,Massaranduba,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 28 - 29. Sal D'amato 28 - 29. Eric Colon 28 - 29.,Welterweight Bout,-,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",1,0,60 of 141,40 of 67,42,59,65 of 148,82 of 111,0 of 1,1 of 4,0,25,1,0,1,0,0:38,5:21,30 of 101,20 of 44,10 of 16,9 of 12,20 of 24,11 of 11,56 of 136,33 of 59,0 of 1,0 of 1,4 of 4,7 of 7,50,50,16,22,33,27,93,82,0,0,6,17,29 29 29,28 28 28
RAONI BARCELOS,TREVIN JONES,01/10/2022,-,5 Star,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Junichiro Kamijo 25 - 30. Doug Crosby 27 - 30. Mike Bell 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",1,0,73 of 119,11 of 57,61,19,119 of 171,15 of 61,2 of 5,0 of 2,40,0,0,0,0,0,7:07,0:00,51 of 95,5 of 47,19 of 21,3 of 7,3 of 3,3 of 3,39 of 75,11 of 56,2 of 3,0 of 1,32 of 41,0 of 0,69,45,26,27,4,27,53,100,2,0,43,0,30 30 30,25 27 27
SODIQ YUSUFF,DON SHAINIS,01/10/2022,Super,Shameless,W,L,Submission,1,0:30,3 Rnd (5-5-5),Jacob Montalvo,Guillotine Choke After Drop to Guard,Featherweight Bout,-,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,9 of 9,3 of 3,100,100,9 of 9,9 of 9,0 of 0,0 of 1,---,0,1,0,0,0,0:02,0:11,1 of 1,0 of 0,8 of 8,3 of 3,0 of 0,0 of 0,2 of 2,1 of 1,7 of 7,2 of 2,0 of 0,0 of 0,11,0,88,100,0,0,22,33,77,66,0,0,- - -,- - -
MIKE DAVIS,VIACHESLAV BORSHCHEV,01/10/2022,Beast Boy,Slava Claus,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Doug Crosby 28 - 29. Adalaide Byrd 26 - 30. Mike Bell 26 - 30.,Lightweight Bout,-,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,65 of 133,63 of 118,48,53,101 of 174,84 of 139,9 of 11,0 of 0,81,---,1,0,0,1,8:02,0:14,53 of 118,29 of 81,5 of 7,10 of 13,7 of 8,24 of 24,27 of 75,62 of 115,1 of 1,0 of 0,37 of 57,1 of 3,81,46,7,15,10,38,41,98,1,0,56,1,29 30 30,28 26 26
JOHN CASTANEDA,DANIEL SANTOS,01/10/2022,Sexy Mexi,Willycat,L,W,KO/TKO,2,4:28,3 Rnd (5-5-5),Keith Peterson,Knee to Head In Clinch,Catch Weight Bout,fight,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",1,1,57 of 106,69 of 134,53,51,67 of 118,71 of 137,3 of 6,2 of 4,50,50,0,0,0,0,2:04,0:52,45 of 89,52 of 111,8 of 13,14 of 19,4 of 4,3 of 4,41 of 87,53 of 114,8 of 10,14 of 18,8 of 9,2 of 2,78,75,14,20,7,4,71,76,14,20,14,2,10 10 10,9 9 9
ILIR LATIFI,ALEKSEI OLEINIK,01/10/2022,The Sledgehammer,The Boa Constrictor,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Tony Weeks 27 - 30. Anthony Maness 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,-,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,38 of 48,28 of 70,79,40,74 of 88,68 of 113,3 of 6,0 of 0,50,---,0,0,0,0,8:29,0:02,32 of 40,9 of 46,6 of 8,7 of 9,0 of 0,12 of 15,18 of 27,27 of 66,5 of 6,1 of 4,15 of 15,0 of 0,84,32,15,25,0,42,47,96,13,3,39,0,30 30 30,27 27 27
JOAQUIM SILVA,JESSE RONSON,01/10/2022,Netto BJJ,The Body Snatcher,W,L,KO/TKO,2,3:08,3 Rnd (5-5-5),Keith Peterson,Flying Knee Head,Lightweight Bout,perf,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",1,0,45 of 90,39 of 83,50,46,51 of 96,39 of 83,0 of 0,0 of 1,---,0,0,0,0,0,0:11,0:00,26 of 67,22 of 55,12 of 16,11 of 18,7 of 7,6 of 10,38 of 76,39 of 83,0 of 0,0 of 0,7 of 14,0 of 0,57,56,26,28,15,15,84,100,0,0,15,0,10 10 10,9 9 9
KRZYSZTOF JOTKO,BRENDAN ALLEN,01/10/2022,-,All In,L,W,Submission,1,4:17,3 Rnd (5-5-5),Kerry Hatley,Rear Naked Choke,Middleweight Bout,perf,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,3 of 6,3 of 6,50,50,21 of 26,12 of 16,0 of 0,1 of 1,---,100,0,1,0,1,1:33,2:24,3 of 5,1 of 4,0 of 1,1 of 1,0 of 0,1 of 1,0 of 3,2 of 4,0 of 0,0 of 0,3 of 3,1 of 2,100,33,0,33,0,33,0,66,0,0,100,33,- - -,- - -
JULIJA STOLIARENKO,CHELSEA CHANDLER,01/10/2022,-,-,L,W,KO/TKO,1,4:15,3 Rnd (5-5-5),Jacob Montalvo,Punches to Head From Mount,Catch Weight Bout,perf,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,12 of 27,38 of 70,44,54,20 of 36,47 of 81,1 of 3,0 of 0,33,---,0,0,0,0,0:19,2:05,5 of 18,34 of 64,3 of 4,4 of 6,4 of 5,0 of 0,12 of 27,17 of 43,0 of 0,0 of 0,0 of 0,21 of 27,41,89,25,10,33,0,100,44,0,0,0,55,- - -,- - -
GUIDO CANNETTI,RANDY COSTA,01/10/2022,Ninja,The Zohan,W,L,Submission,1,1:04,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Bantamweight Bout,perf,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA",0,0,8 of 13,2 of 7,61,28,8 of 13,2 of 7,1 of 1,0 of 0,100,---,1,0,0,0,0:09,0:00,1 of 5,0 of 3,3 of 3,2 of 4,4 of 5,0 of 0,8 of 13,2 of 7,0 of 0,0 of 0,0 of 0,0 of 0,12,0,37,100,50,0,100,100,0,0,0,0,- - -,- - -
CORY SANDHAGEN,SONG YADONG,17/09/2022,-,Kung Fu Kid,W,L,TKO - Doctor's Stoppage,4,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Cut,Bantamweight Bout,-,UFC Fight Night: Sandhagen vs. Song,"Las Vegas, Nevada, USA",0,0,94 of 222,54 of 145,42,37,130 of 259,130 of 224,1 of 14,2 of 2,7,100,0,0,0,0,3:47,1:39,62 of 186,36 of 125,17 of 21,13 of 15,15 of 15,5 of 5,86 of 213,44 of 132,5 of 6,10 of 13,3 of 3,0 of 0,65,66,18,24,15,9,91,81,5,18,3,0,38 39 38,38 37 38
CHIDI NJOKUANI,GREGORY RODRIGUES,17/09/2022,Bang Bang,Robocop,L,W,KO/TKO,2,1:27,3 Rnd (5-5-5),Mark Smith,Punches to Head From Half Guard,Middleweight Bout,fight,UFC Fight Night: Sandhagen vs. Song,"Las Vegas, Nevada, USA",0,1,44 of 65,48 of 90,67,53,47 of 68,60 of 102,0 of 0,1 of 3,---,33,0,0,0,0,1:40,1:14,13 of 25,34 of 74,28 of 37,13 of 14,3 of 3,1 of 2,19 of 35,24 of 48,25 of 30,17 of 21,0 of 0,7 of 21,29,70,63,27,6,2,43,50,56,35,0,14,9 9 9,10 10 10
ANDRE FILI,BILL ALGEO,17/09/2022,Touchy,Senor Perfecto,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 29 - 28. Sal D'amato 28 - 29. Derek Cleary 28 - 29.,Featherweight Bout,-,UFC Fight Night: Sandhagen vs. Song,"Las Vegas, Nevada, USA",0,0,59 of 142,81 of 170,41,47,67 of 151,151 of 246,1 of 3,0 of 3,33,0,2,0,0,0,4:18,0:07,48 of 125,38 of 113,6 of 10,17 of 27,5 of 7,26 of 30,59 of 141,80 of 168,0 of 1,1 of 2,0 of 0,0 of 0,81,46,10,20,8,32,100,98,0,1,0,0,29 28 29,28 29 28
JOE PYFER,ALEN AMEDOVSKI,17/09/2022,Bodybagz,-,W,L,KO/TKO,1,3:55,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Middleweight Bout,perf,UFC Fight Night: Sandhagen vs. Song,"Las Vegas, Nevada, USA",1,0,14 of 45,11 of 30,31,36,14 of 45,11 of 30,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,12 of 42,4 of 19,1 of 2,2 of 4,1 of 1,5 of 7,13 of 44,11 of 30,0 of 0,0 of 0,1 of 1,0 of 0,85,36,7,18,7,45,92,100,0,0,7,0,- - -,- - -
