red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
MARCUS BRIMAGE,CODY GARBRANDT,03/01/2015,The Bama Beast,No Love,L,W,KO/TKO,3,4:50,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Bantamweight Bout,-,UFC 182: Jones vs Cormier,"Las Vegas, Nevada, USA",0,2,43 of 132,49 of 134,32,36,48 of 137,50 of 135,0 of 0,1 of 3,---,33,0,0,0,0,0:17,0:29,24 of 100,42 of 122,11 of 23,5 of 8,8 of 9,2 of 4,42 of 129,45 of 125,1 of 3,0 of 2,0 of 0,4 of 7,55,85,25,10,18,4,97,91,2,0,0,8,,
SHAWN JORDAN,JARED CANNONIER,03/01/2015,The Savage,The Killa Gorilla,W,L,KO/TKO,1,2:57,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance,Heavyweight Bout,perf,UFC 182: Jones vs Cormier,"Las Vegas, Nevada, USA",1,0,12 of 31,10 of 20,38,50,13 of 32,10 of 20,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,10 of 27,5 of 12,1 of 2,0 of 1,1 of 2,5 of 7,8 of 25,10 of 20,0 of 0,0 of 0,4 of 6,0 of 0,83,50,8,0,8,50,66,100,0,0,33,0,,
EVAN DUNHAM,RODRIGO DAMM,03/01/2015,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Patricia Morse-Jarman 27 - 30. Glenn Trowbridge 27 - 30. Tony Weeks 27 - 30.,Lightweight Bout,-,UFC 182: Jones vs Cormier,"Las Vegas, Nevada, USA",0,0,152 of 344,47 of 153,44,30,156 of 350,47 of 153,1 of 2,0 of 0,50,---,0,0,0,0,0:34,0:00,125 of 304,37 of 139,22 of 35,8 of 12,5 of 5,2 of 2,147 of 336,46 of 152,5 of 8,1 of 1,0 of 0,0 of 0,82,78,14,17,3,4,96,97,3,2,0,0,,
OMARI AKHMEDOV,MATS NILSSON,03/01/2015,Wolverine,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Adalaide Byrd 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.,Welterweight Bout,-,UFC 182: Jones vs Cormier,"Las Vegas, Nevada, USA",0,0,64 of 184,33 of 92,34,35,93 of 219,55 of 115,5 of 9,5 of 6,55,83,0,3,0,0,4:41,2:56,48 of 160,19 of 78,12 of 19,5 of 5,4 of 5,9 of 9,39 of 147,26 of 82,8 of 15,6 of 9,17 of 22,1 of 1,75,57,18,15,6,27,60,78,12,18,26,3,,
ALEXIS DUFRESNE,MARION RENEAU,03/01/2015,Sneaky Zebra,The Belizean Bruiser,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Marcos Rosales 26 - 30. Cardo Urso 26 - 30. Patricia Morse-Jarman 25 - 30.,Women's Bantamweight Bout,-,UFC 182: Jones vs Cormier,"Las Vegas, Nevada, USA",0,0,28 of 116,85 of 221,24,38,33 of 122,86 of 222,0 of 3,0 of 0,0,---,0,0,0,0,0:14,0:16,7 of 79,64 of 187,3 of 8,10 of 22,18 of 29,11 of 12,26 of 112,76 of 206,2 of 4,9 of 14,0 of 0,0 of 1,25,75,10,11,64,12,92,89,7,10,0,0,,
LYOTO MACHIDA,CB DOLLAWAY,20/12/2014,The Dragon,The Doberman,W,L,KO/TKO,1,1:02,5 Rnd (5-5-5-5-5),Jerin Valel,Kick to Body At Distance,Middleweight Bout,perf,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",1,0,12 of 19,0 of 2,63,0,12 of 19,0 of 2,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,10 of 17,0 of 1,1 of 1,0 of 0,1 of 1,0 of 1,4 of 6,0 of 2,2 of 4,0 of 0,6 of 9,0 of 0,83,0,8,0,8,0,33,0,16,0,50,0,,
RENAN BARAO,MITCH GAGNON,20/12/2014,The Baron,-,W,L,Submission,3,3:53,3 Rnd (5-5-5),Mario Yamasaki,Arm Triangle From Mount,Bantamweight Bout,perf,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",1,0,59 of 138,58 of 111,42,52,64 of 143,66 of 119,2 of 4,0 of 7,50,0,1,0,0,0,2:22,4:15,29 of 98,32 of 76,18 of 27,17 of 26,12 of 13,9 of 9,34 of 105,45 of 95,25 of 32,13 of 16,0 of 1,0 of 0,49,55,30,29,20,15,57,77,42,22,0,0,,
ANTONIO CARLOS JUNIOR,PATRICK CUMMINS,20/12/2014,Cara de Sapato,Durkin,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Fernando Amaral 27 - 30. Lester Griffin 27 - 30. Hallison Pontes 27 - 30.,Light Heavyweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,12 of 29,62 of 94,41,65,14 of 32,122 of 162,1 of 2,4 of 8,50,50,1,0,0,0,0:37,11:14,8 of 25,58 of 90,3 of 3,3 of 3,1 of 1,1 of 1,8 of 24,3 of 12,2 of 2,1 of 2,2 of 3,58 of 80,66,93,25,4,8,1,66,4,16,1,16,93,,
ELIAS SILVERIO,RASHID MAGOMEDOV,20/12/2014,Xuxu,Highlander,L,W,KO/TKO,3,4:57,3 Rnd (5-5-5),Jerin Valel,Punches to Head At Distance,Lightweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,2,56 of 118,91 of 161,47,56,57 of 119,102 of 172,0 of 0,1 of 2,---,50,0,0,0,0,0:00,1:01,13 of 56,52 of 108,17 of 28,19 of 30,26 of 34,20 of 23,53 of 113,72 of 136,3 of 5,10 of 12,0 of 0,9 of 13,23,57,30,20,46,21,94,79,5,10,0,9,,
ERICK SILVA,MIKE RHODES,20/12/2014,-,Biggie,W,L,Submission,1,1:15,3 Rnd (5-5-5),Mario Yamasaki,Arm Triangle From Side Control Technical Submission,Welterweight Bout,perf,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,2 of 2,2 of 3,100,66,4 of 4,3 of 4,1 of 1,0 of 0,100,---,1,0,0,0,1:05,0:00,1 of 1,1 of 2,1 of 1,1 of 1,0 of 0,0 of 0,2 of 2,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,50,50,50,50,0,0,100,100,0,0,0,0,,
